id,Amikacin,Capreomycin,Ciprofloxacin,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Moxifloxacin,Ofloxacin,Prothionamide,Pyrazinamide,Rifampicin,Streptomycin
ERR036186,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036187,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036188,,,,1.0,,1.0,,,,,1.0,0.0,1.0
ERR036189,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036190,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036191,,,,0.0,,1.0,,,,,,0.0,0.0
ERR036192,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036193,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036195,,,,0.0,,0.0,,,,,,0.0,1.0
ERR036196,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036197,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036200,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036201,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036202,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036203,,,,0.0,,1.0,,,,,,0.0,0.0
ERR036204,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036205,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036206,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036208,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036209,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036210,,,,0.0,,0.0,,,,,,0.0,0.0
ERR036212,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036213,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036214,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036216,,,,0.0,,0.0,,,,,0.0,0.0,1.0
ERR036217,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036218,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036219,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036220,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036221,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036222,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036223,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036226,,,,0.0,,1.0,,,,,0.0,0.0,0.0
ERR036227,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036228,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036229,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036230,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036231,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036232,,,,0.0,,0.0,,,,,0.0,0.0,0.0
ERR036234,,,,0.0,,1.0,,,,,0.0,0.0,0.0
